x_coord,y_coord,continuous_visibility_count
691056.9257130085,5336187.359748492,0.0
691056.9257130085,5336188.359748492,0.0
691056.9257130085,5336189.359748492,0.0
691056.9257130085,5336190.359748492,0.0
691056.9257130085,5336191.359748492,0.0
691056.9257130085,5336192.359748492,0.0
691056.9257130085,5336193.359748492,0.0
691056.9257130085,5336194.359748492,0.0
691056.9257130085,5336195.359748492,0.0
691056.9257130085,5336196.359748492,0.0
691056.9257130085,5336197.359748492,0.0
691056.9257130085,5336198.359748492,0.0
691056.9257130085,5336199.359748492,0.0
691056.9257130085,5336200.359748492,0.0
691056.9257130085,5336201.359748492,0.0
691056.9257130085,5336202.359748492,0.0
691056.9257130085,5336203.359748492,0.0
691056.9257130085,5336204.359748492,0.0
691056.9257130085,5336205.359748492,0.0
691056.9257130085,5336206.359748492,0.0
691056.9257130085,5336207.359748492,0.0
691056.9257130085,5336208.359748492,0.0
691056.9257130085,5336209.359748492,0.0
691056.9257130085,5336210.359748492,0.0
691056.9257130085,5336211.359748492,0.0
691056.9257130085,5336212.359748492,0.0
691056.9257130085,5336213.359748492,0.0
691056.9257130085,5336214.359748492,0.0
691056.9257130085,5336215.359748492,0.0
691056.9257130085,5336216.359748492,0.0
691056.9257130085,5336217.359748492,0.0
691056.9257130085,5336218.359748492,0.0
691056.9257130085,5336219.359748492,0.0
691056.9257130085,5336220.359748492,0.0
691056.9257130085,5336221.359748492,0.0
691056.9257130085,5336222.359748492,0.0
691056.9257130085,5336223.359748492,0.0
691056.9257130085,5336224.359748492,0.0
691057.9257130085,5336056.359748492,125.30000000000035
691057.9257130085,5336057.359748492,117.60000000000032
691057.9257130085,5336058.359748492,109.90000000000029
691057.9257130085,5336059.359748492,101.50000000000026
691057.9257130085,5336060.359748492,94.50000000000023
691057.9257130085,5336061.359748492,87.5000000000002
691057.9257130085,5336062.359748492,80.50000000000017
691057.9257130085,5336063.359748492,74.90000000000015
691057.9257130085,5336064.359748492,0.0
691057.9257130085,5336065.359748492,0.0
691057.9257130085,5336066.359748492,0.0
691057.9257130085,5336067.359748492,0.0
691057.9257130085,5336068.359748492,0.0
691057.9257130085,5336069.359748492,0.0
691057.9257130085,5336070.359748492,0.0
691057.9257130085,5336071.359748492,0.0
691057.9257130085,5336072.359748492,0.0
691057.9257130085,5336073.359748492,0.0
691057.9257130085,5336074.359748492,0.0
691057.9257130085,5336075.359748492,0.0
691057.9257130085,5336076.359748492,0.0
691057.9257130085,5336077.359748492,0.0
691057.9257130085,5336078.359748492,0.0
691057.9257130085,5336079.359748492,0.0
691057.9257130085,5336080.359748492,0.0
691057.9257130085,5336081.359748492,0.0
691057.9257130085,5336082.359748492,0.0
691057.9257130085,5336083.359748492,0.0
691057.9257130085,5336084.359748492,0.0
691057.9257130085,5336085.359748492,0.0
691057.9257130085,5336086.359748492,0.0
691057.9257130085,5336087.359748492,0.0
691057.9257130085,5336088.359748492,0.0
691057.9257130085,5336089.359748492,0.0
691057.9257130085,5336090.359748492,0.0
691057.9257130085,5336091.359748492,0.0
691057.9257130085,5336092.359748492,0.0
691057.9257130085,5336093.359748492,0.0
691057.9257130085,5336094.359748492,0.0
691057.9257130085,5336095.359748492,0.0
691057.9257130085,5336096.359748492,0.0
691057.9257130085,5336097.359748492,0.0
691057.9257130085,5336098.359748492,0.0
691057.9257130085,5336099.359748492,0.0
691057.9257130085,5336100.359748492,0.0
691057.9257130085,5336101.359748492,0.0
691057.9257130085,5336102.359748492,0.0
691057.9257130085,5336103.359748492,0.0
691057.9257130085,5336104.359748492,0.0
691057.9257130085,5336105.359748492,0.0
691057.9257130085,5336106.359748492,0.0
691057.9257130085,5336107.359748492,0.0
691057.9257130085,5336108.359748492,0.0
691057.9257130085,5336109.359748492,0.0
691057.9257130085,5336110.359748492,0.0
691057.9257130085,5336111.359748492,0.0
691057.9257130085,5336112.359748492,0.0
691057.9257130085,5336113.359748492,0.0
691057.9257130085,5336114.359748492,0.0
691057.9257130085,5336115.359748492,0.0
691057.9257130085,5336116.359748492,0.0
691057.9257130085,5336117.359748492,0.0
691057.9257130085,5336118.359748492,0.0
691057.9257130085,5336119.359748492,0.0
691057.9257130085,5336120.359748492,0.0
691057.9257130085,5336121.359748492,0.0
691057.9257130085,5336122.359748492,0.0
691057.9257130085,5336123.359748492,0.0
691057.9257130085,5336124.359748492,0.0
691057.9257130085,5336125.359748492,0.0
691057.9257130085,5336126.359748492,0.0
691057.9257130085,5336127.359748492,0.0
691057.9257130085,5336128.359748492,0.0
691057.9257130085,5336129.359748492,0.0
691057.9257130085,5336130.359748492,0.0
691057.9257130085,5336131.359748492,0.0
691057.9257130085,5336132.359748492,0.0
691057.9257130085,5336133.359748492,0.0
691057.9257130085,5336134.359748492,0.0
691057.9257130085,5336135.359748492,0.0
691057.9257130085,5336136.359748492,0.0
691057.9257130085,5336137.359748492,176.39999999999958
691057.9257130085,5336138.359748492,175.6999999999996
691057.9257130085,5336139.359748492,175.6999999999996
691057.9257130085,5336140.359748492,175.6999999999996
691057.9257130085,5336141.359748492,174.9999999999996
691057.9257130085,5336142.359748492,172.89999999999964
691057.9257130085,5336143.359748492,172.89999999999964
691057.9257130085,5336144.359748492,170.09999999999968
691057.9257130085,5336145.359748492,169.3999999999997
691057.9257130085,5336146.359748492,156.7999999999999
691057.9257130085,5336147.359748492,151.2
691057.9257130085,5336148.359748492,149.8
691057.9257130085,5336149.359748492,147.70000000000005
691057.9257130085,5336150.359748492,137.9000000000002
691057.9257130085,5336151.359748492,147.70000000000005
691057.9257130085,5336152.359748492,147.00000000000006
691057.9257130085,5336153.359748492,151.89999999999998
691057.9257130085,5336154.359748492,147.70000000000005
691057.9257130085,5336155.359748492,144.2000000000001
691057.9257130085,5336156.359748492,140.00000000000017
691057.9257130085,5336157.359748492,136.50000000000023
691057.9257130085,5336158.359748492,133.70000000000027
691057.9257130085,5336159.359748492,130.20000000000033
691057.9257130085,5336160.359748492,125.30000000000035
691057.9257130085,5336161.359748492,124.60000000000035
691057.9257130085,5336162.359748492,119.70000000000033
691057.9257130085,5336163.359748492,115.50000000000031
691057.9257130085,5336164.359748492,112.7000000000003
691057.9257130085,5336165.359748492,108.50000000000028
691057.9257130085,5336166.359748492,103.60000000000026
691057.9257130085,5336167.359748492,101.50000000000026
691057.9257130085,5336168.359748492,97.30000000000024
691057.9257130085,5336169.359748492,93.10000000000022
691057.9257130085,5336170.359748492,86.8000000000002
691057.9257130085,5336171.359748492,81.20000000000017
691057.9257130085,5336172.359748492,0.0
691057.9257130085,5336173.359748492,0.0
691057.9257130085,5336174.359748492,0.0
691057.9257130085,5336175.359748492,0.0
691057.9257130085,5336176.359748492,0.0
691057.9257130085,5336177.359748492,0.0
691057.9257130085,5336178.359748492,0.0
691057.9257130085,5336179.359748492,0.0
691057.9257130085,5336180.359748492,0.0
691057.9257130085,5336181.359748492,0.0
691057.9257130085,5336182.359748492,0.0
691057.9257130085,5336183.359748492,0.0
691057.9257130085,5336184.359748492,0.0
691057.9257130085,5336185.359748492,0.0
691057.9257130085,5336186.359748492,0.0
691057.9257130085,5336187.359748492,0.0
691057.9257130085,5336188.359748492,0.0
691057.9257130085,5336189.359748492,0.0
691057.9257130085,5336190.359748492,0.0
691057.9257130085,5336191.359748492,0.0
691057.9257130085,5336192.359748492,0.0
691057.9257130085,5336193.359748492,0.0
691057.9257130085,5336194.359748492,0.0
691057.9257130085,5336195.359748492,0.0
691057.9257130085,5336196.359748492,0.0
691057.9257130085,5336197.359748492,0.0
691057.9257130085,5336198.359748492,0.0
691057.9257130085,5336199.359748492,0.0
691057.9257130085,5336200.359748492,0.0
691057.9257130085,5336201.359748492,0.0
691057.9257130085,5336202.359748492,0.0
691057.9257130085,5336203.359748492,0.0
691057.9257130085,5336204.359748492,0.0
691057.9257130085,5336205.359748492,0.0
691057.9257130085,5336206.359748492,0.0
691057.9257130085,5336207.359748492,0.0
691057.9257130085,5336208.359748492,0.0
691057.9257130085,5336209.359748492,0.0
691057.9257130085,5336210.359748492,0.0
691057.9257130085,5336211.359748492,0.0
691057.9257130085,5336212.359748492,0.0
691057.9257130085,5336213.359748492,0.0
691057.9257130085,5336214.359748492,0.0
691057.9257130085,5336215.359748492,0.0
691057.9257130085,5336216.359748492,0.0
691057.9257130085,5336217.359748492,0.0
691057.9257130085,5336218.359748492,0.0
691057.9257130085,5336219.359748492,0.0
691057.9257130085,5336220.359748492,0.0
691057.9257130085,5336221.359748492,0.0
691057.9257130085,5336222.359748492,0.0
691057.9257130085,5336223.359748492,0.0
691057.9257130085,5336224.359748492,0.0
691058.9257130085,5336056.359748492,132.3000000000003
691058.9257130085,5336057.359748492,120.40000000000033
691058.9257130085,5336058.359748492,111.3000000000003
691058.9257130085,5336059.359748492,102.20000000000026
691058.9257130085,5336060.359748492,95.20000000000023
691058.9257130085,5336061.359748492,87.5000000000002
691058.9257130085,5336062.359748492,79.80000000000017
691058.9257130085,5336063.359748492,0.0
691058.9257130085,5336064.359748492,0.0
691058.9257130085,5336065.359748492,0.0
691058.9257130085,5336066.359748492,0.0
691058.9257130085,5336067.359748492,0.0
691058.9257130085,5336068.359748492,0.0
691058.9257130085,5336069.359748492,0.0
691058.9257130085,5336070.359748492,0.0
691058.9257130085,5336071.359748492,0.0
691058.9257130085,5336072.359748492,0.0
691058.9257130085,5336073.359748492,0.0
691058.9257130085,5336074.359748492,0.0
691058.9257130085,5336075.359748492,0.0
691058.9257130085,5336076.359748492,0.0
691058.9257130085,5336077.359748492,0.0
691058.9257130085,5336078.359748492,0.0
691058.9257130085,5336079.359748492,0.0
691058.9257130085,5336080.359748492,0.0
691058.9257130085,5336081.359748492,0.0
691058.9257130085,5336082.359748492,0.0
691058.9257130085,5336083.359748492,0.0
691058.9257130085,5336084.359748492,0.0
691058.9257130085,5336085.359748492,0.0
691058.9257130085,5336086.359748492,0.0
691058.9257130085,5336087.359748492,0.0
691058.9257130085,5336088.359748492,0.0
691058.9257130085,5336089.359748492,0.0
691058.9257130085,5336090.359748492,0.0
691058.9257130085,5336091.359748492,0.0
691058.9257130085,5336092.359748492,0.0
691058.9257130085,5336093.359748492,0.0
691058.9257130085,5336094.359748492,0.0
691058.9257130085,5336095.359748492,0.0
691058.9257130085,5336096.359748492,0.0
691058.9257130085,5336097.359748492,0.0
691058.9257130085,5336098.359748492,0.0
691058.9257130085,5336099.359748492,0.0
691058.9257130085,5336100.359748492,0.0
691058.9257130085,5336101.359748492,0.0
691058.9257130085,5336102.359748492,0.0
691058.9257130085,5336103.359748492,0.0
691058.9257130085,5336104.359748492,0.0
691058.9257130085,5336105.359748492,0.0
691058.9257130085,5336106.359748492,0.0
691058.9257130085,5336107.359748492,0.0
691058.9257130085,5336108.359748492,0.0
691058.9257130085,5336109.359748492,0.0
691058.9257130085,5336110.359748492,0.0
691058.9257130085,5336111.359748492,0.0
691058.9257130085,5336112.359748492,0.0
691058.9257130085,5336113.359748492,0.0
691058.9257130085,5336114.359748492,0.0
691058.9257130085,5336115.359748492,0.0
691058.9257130085,5336116.359748492,0.0
691058.9257130085,5336117.359748492,0.0
691058.9257130085,5336118.359748492,0.0
691058.9257130085,5336119.359748492,0.0
691058.9257130085,5336120.359748492,0.0
691058.9257130085,5336121.359748492,0.0
691058.9257130085,5336122.359748492,0.0
691058.9257130085,5336123.359748492,0.0
691058.9257130085,5336124.359748492,0.0
691058.9257130085,5336125.359748492,0.0
691058.9257130085,5336126.359748492,0.0
691058.9257130085,5336127.359748492,0.0
691058.9257130085,5336128.359748492,0.0
691058.9257130085,5336129.359748492,0.0
691058.9257130085,5336130.359748492,0.0
691058.9257130085,5336131.359748492,0.0
691058.9257130085,5336132.359748492,0.0
691058.9257130085,5336133.359748492,0.0
691058.9257130085,5336134.359748492,0.0
691058.9257130085,5336135.359748492,0.0
691058.9257130085,5336136.359748492,181.9999999999995
691058.9257130085,5336137.359748492,181.9999999999995
691058.9257130085,5336138.359748492,181.9999999999995
691058.9257130085,5336139.359748492,181.2999999999995
691058.9257130085,5336140.359748492,180.5999999999995
691058.9257130085,5336141.359748492,179.89999999999952
691058.9257130085,5336142.359748492,177.79999999999956
691058.9257130085,5336143.359748492,176.39999999999958
691058.9257130085,5336144.359748492,175.6999999999996
691058.9257130085,5336145.359748492,170.09999999999968
691058.9257130085,5336146.359748492,158.19999999999987
691058.9257130085,5336147.359748492,156.0999999999999
691058.9257130085,5336148.359748492,153.99999999999994
691058.9257130085,5336149.359748492,147.70000000000005
691058.9257130085,5336150.359748492,147.00000000000006
691058.9257130085,5336151.359748492,152.59999999999997
691058.9257130085,5336152.359748492,155.39999999999992
691058.9257130085,5336153.359748492,153.29999999999995
691058.9257130085,5336154.359748492,150.5
691058.9257130085,5336155.359748492,145.60000000000008
691058.9257130085,5336156.359748492,142.80000000000013
691058.9257130085,5336157.359748492,139.30000000000018
691058.9257130085,5336158.359748492,135.80000000000024
691058.9257130085,5336159.359748492,133.00000000000028
691058.9257130085,5336160.359748492,130.20000000000033
691058.9257130085,5336161.359748492,124.60000000000035
691058.9257130085,5336162.359748492,116.90000000000032
691058.9257130085,5336163.359748492,113.4000000000003
691058.9257130085,5336164.359748492,108.50000000000028
691058.9257130085,5336165.359748492,104.30000000000027
691058.9257130085,5336166.359748492,100.80000000000025
691058.9257130085,5336167.359748492,98.70000000000024
691058.9257130085,5336168.359748492,95.20000000000023
691058.9257130085,5336169.359748492,93.10000000000022
691058.9257130085,5336170.359748492,89.60000000000021
691058.9257130085,5336171.359748492,84.00000000000018
691058.9257130085,5336172.359748492,77.70000000000016
691058.9257130085,5336173.359748492,72.10000000000014
691058.9257130085,5336174.359748492,0.0
691058.9257130085,5336175.359748492,0.0
691058.9257130085,5336176.359748492,0.0
691058.9257130085,5336177.359748492,0.0
691058.9257130085,5336178.359748492,0.0
691058.9257130085,5336179.359748492,0.0
691058.9257130085,5336180.359748492,0.0
691058.9257130085,5336181.359748492,0.0
691058.9257130085,5336182.359748492,0.0
691058.9257130085,5336183.359748492,0.0
691058.9257130085,5336184.359748492,0.0
691058.9257130085,5336185.359748492,0.0
691058.9257130085,5336186.359748492,0.0
691058.9257130085,5336187.359748492,0.0
691058.9257130085,5336188.359748492,0.0
691058.9257130085,5336189.359748492,0.0
691058.9257130085,5336190.359748492,0.0
691058.9257130085,5336191.359748492,0.0
691058.9257130085,5336192.359748492,0.0
691058.9257130085,5336193.359748492,0.0
691058.9257130085,5336194.359748492,0.0
691058.9257130085,5336195.359748492,0.0
691058.9257130085,5336196.359748492,0.0
691058.9257130085,5336197.359748492,0.0
691058.9257130085,5336198.359748492,0.0
691058.9257130085,5336199.359748492,0.0
691058.9257130085,5336200.359748492,0.0
691058.9257130085,5336201.359748492,0.0
691058.9257130085,5336202.359748492,0.0
691058.9257130085,5336203.359748492,0.0
691058.9257130085,5336204.359748492,0.0
691058.9257130085,5336205.359748492,0.0
691058.9257130085,5336206.359748492,0.0
691058.9257130085,5336207.359748492,0.0
691058.9257130085,5336208.359748492,0.0
691058.9257130085,5336209.359748492,0.0
691058.9257130085,5336210.359748492,0.0
691058.9257130085,5336211.359748492,0.0
691058.9257130085,5336212.359748492,0.0
691058.9257130085,5336213.359748492,0.0
691058.9257130085,5336214.359748492,0.0
691058.9257130085,5336215.359748492,0.0
691058.9257130085,5336216.359748492,0.0
691058.9257130085,5336217.359748492,0.0
691058.9257130085,5336218.359748492,0.0
691058.9257130085,5336219.359748492,0.0
691058.9257130085,5336220.359748492,0.0
